IDUnidadeconsumidora,Consumo,Cidade,Estado,Bairro,Lugradouro,Numero,Complemento,DataIntalacao,IDCliente
10266,168,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,284,802,08/01/2012,428
10267,110,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,199,660,05/17/2013,117
10268,120,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,468,881,10/06/2016,358
10269,180,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,160,874,02/16/2010,595
10270,136,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,71,878,03/09/2018,1078
10271,199,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,70,586,09/22/2012,298
10272,96,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,180,625,12/16/2010,178
10273,102,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,464,363,01/12/2019,380
10274,258,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,444,855,10/17/2010,454
10275,300,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,97,817,09/09/2010,521
10276,128,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,346,825,01/10/2011,815
10277,251,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,235,576,07/10/2016,812
10278,179,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,159,151,12/20/2014,335
10279,189,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,300,710,02/17/2016,709
10280,198,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,255,174,03/02/2017,542
10281,201,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,341,182,12/18/2015,632
10282,272,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,496,162,04/02/2012,789
10283,296,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,306,240,03/02/2012,453
10284,248,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,289,438,12/15/2010,1025
10285,187,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,60,288,08/13/2017,888
10286,252,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,65,495,06/16/2012,958
10287,242,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,395,127,06/06/2011,379
10288,283,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,271,648,05/20/2019,764
10289,216,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,78,653,12/01/2013,912
10290,116,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,54,644,11/10/2014,748
10291,95,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,111,650,12/12/2011,870
10292,189,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,203,458,08/29/2019,384
10293,96,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,127,393,01/06/2011,935
10294,234,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,282,523,11/09/2017,516
10295,255,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,147,291,10/03/2014,607
10296,224,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,53,436,07/13/2013,769
10297,251,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,463,861,10/08/2017,915
10298,206,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,341,313,12/09/2016,980
10299,162,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,102,489,01/03/2010,694
