IDUnidadeconsumidora,Consumo,Cidade,Estado,Bairro,Lugradouro,Numero,Complemento,DataIntalacao,IDCliente
10579,176,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,396,613,12/31/2010,460
10580,179,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,298,726,01/20/2018,232
10581,268,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,222,531,03/26/2018,151
10582,116,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,307,906,02/13/2014,891
10583,236,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,72,390,01/01/2013,318
10584,280,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,215,444,01/27/2019,135
10585,162,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,78,327,10/10/2011,371
10586,294,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,82,705,09/10/2013,110
10587,300,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,496,241,01/26/2018,1049
10588,221,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,327,547,04/22/2012,750
10589,117,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,120,295,04/09/2018,325
10590,298,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,57,503,03/01/2013,763
10591,162,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,205,710,10/07/2018,324
10592,220,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,96,606,05/26/2017,341
10593,196,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,292,298,01/24/2010,1067
10594,240,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,396,716,02/07/2010,1074
10595,155,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,165,251,10/09/2012,661
10596,210,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,390,860,08/20/2017,376
10597,232,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,123,529,04/30/2018,658
10598,227,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,157,806,02/07/2017,303
10599,127,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,443,166,04/08/2016,142
